time,SSCxs_mg_per_liter,SSCpt_mg_per_liter,Site_number
25-Feb-2000 04:00:00,999.62088644209,1231.54523246421,120001A
25-Feb-2000 05:00:00,970.262890976676,1194.33463268172,120001A
25-Feb-2000 06:00:00,962.120954945137,1182.19257731177,120001A
25-Feb-2000 07:00:00,943.549597029156,1157.78500496578,120001A
25-Feb-2000 08:00:00,937.406842238792,1148.08672745649,120001A
25-Feb-2000 09:00:00,916.612285701221,1121.22371706174,120001A
25-Feb-2000 10:00:00,913.486171743246,1115.24377654625,120001A
25-Feb-2000 11:00:00,919.628778874949,1120.5542253092,120001A
25-Feb-2000 12:00:00,909.405738112243,1106.9395167796,120001A
25-Feb-2000 13:00:00,906.498893500072,1102.01654132931,120001A
25-Feb-2000 14:00:00,900.278439681052,1093.37104322092,120001A
25-Feb-2000 15:00:00,892.389842666525,1082.80773973162,120001A
25-Feb-2000 16:00:00,893.410598045502,1082.78418579022,120001A
25-Feb-2000 17:00:00,891.211204970771,1079.19940579664,120001A
25-Feb-2000 18:00:00,880.893550266243,1066.13836224016,120001A
25-Feb-2000 19:00:00,879.742859418648,1063.79177713587,120001A
25-Feb-2000 20:00:00,874.262521224311,1056.49846285525,120001A
25-Feb-2000 21:00:00,874.750851615202,1056.24479257849,120001A
25-Feb-2000 22:00:00,869.856938127141,1049.81009985606,120001A
25-Feb-2000 23:00:00,864.849648622812,1043.22607993288,120001A
26-Feb-2000 00:00:00,865.031683565138,1042.73948753802,120001A
26-Feb-2000 01:00:00,861.554684137558,1038.07883557605,120001A
26-Feb-2000 02:00:00,858.62515527071,1034.06763829133,120001A
26-Feb-2000 03:00:00,860.297041618393,1035.49162905468,120001A
26-Feb-2000 04:00:00,858.754162227667,1033.28477278108,120001A
26-Feb-2000 05:00:00,857.052450633432,1030.93246873737,120001A
26-Feb-2000 06:00:00,855.825190153965,1029.15783603426,120001A
26-Feb-2000 07:00:00,853.803284333491,1026.47659340241,120001A
26-Feb-2000 08:00:00,851.462519757504,1023.42011619762,120001A
26-Feb-2000 09:00:00,849.015198024397,1020.22885410505,120001A
26-Feb-2000 10:00:00,847.033963501267,1017.57450591963,120001A
26-Feb-2000 11:00:00,853.674056469437,1025.00170556983,120001A
26-Feb-2000 12:00:00,855.227811711992,1026.77695492511,120001A
26-Feb-2000 13:00:00,855.265426919678,1026.82688633234,120001A
26-Feb-2000 14:00:00,855.303063108803,1026.87684270037,120001A
26-Feb-2000 15:00:00,855.340661001412,1026.92675382913,120001A
26-Feb-2000 16:00:00,855.378272631191,1026.97668030249,120001A
26-Feb-2000 17:00:00,856.485673167689,1028.31021295888,120001A
26-Feb-2000 18:00:00,859.207022583358,1031.62506506376,120001A
26-Feb-2000 19:00:00,860.436195702898,1033.24675580016,120001A
26-Feb-2000 20:00:00,861.609137453214,1034.80417183451,120001A
26-Feb-2000 21:00:00,862.780887746329,1036.35995014661,120001A
26-Feb-2000 22:00:00,863.408068917062,1037.26185297502,120001A
26-Feb-2000 23:00:00,864.090126876468,1038.20685682622,120001A
27-Feb-2000 00:00:00,876.501112957097,1052.8665879716,120001A
27-Feb-2000 01:00:00,877.678474682204,1054.67390037188,120001A
27-Feb-2000 02:00:00,870.444107791909,1046.61049758546,120001A
27-Feb-2000 03:00:00,870.988329791938,1047.38589815928,120001A
27-Feb-2000 04:00:00,871.815833910721,1048.48412245019,120001A
27-Feb-2000 05:00:00,874.048403500058,1051.27101086411,120001A
27-Feb-2000 06:00:00,883.36014458487,1062.32899143889,120001A
27-Feb-2000 07:00:00,881.343820081132,1060.32114275523,120001A
27-Feb-2000 08:00:00,882.452904743114,1061.85860363719,120001A
27-Feb-2000 09:00:00,883.855652285487,1063.73023756795,120001A
27-Feb-2000 10:00:00,884.96493349979,1065.25597875086,120001A
27-Feb-2000 11:00:00,880.459863248161,1060.18930901981,120001A
27-Feb-2000 12:00:00,879.756164890963,1059.39035445938,120001A
27-Feb-2000 13:00:00,879.778713182132,1059.41991475958,120001A
27-Feb-2000 14:00:00,879.798693513863,1059.44654617267,120001A
27-Feb-2000 15:00:00,879.818673515719,1059.47317712878,120001A
27-Feb-2000 16:00:00,879.838653187713,1059.49980762793,120001A
27-Feb-2000 17:00:00,878.102873127982,1057.41472558637,120001A
